data-collector,resource-catalog,resource-discovery,kong
0,0,0,0
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,5,4
4,4,5,4
5,4,5,4
5,4,5,4
5,4,5,4
5,4,6,4
5,5,6,4
5,5,6,4
5,5,6,4
5,6,6,4
5,6,6,4
6,6,7,4
6,6,7,4
6,7,7,4
6,7,7,4
9,7,9,4
9,7,9,4
9,8,9,4
9,8,9,4
9,8,9,4
9,8,9,4
11,10,11,4
11,10,11,4
11,10,11,4
11,10,11,4
11,10,12,4
11,10,13,4
14,12,13,4
14,12,13,4
14,12,13,4
14,12,13,4
14,12,13,4
14,14,13,4
14,14,15,4
14,14,15,4
13,14,15,4
13,14,15,4
13,11,15,4
13,11,15,4
13,11,15,4
13,11,15,4
13,14,15,4
15,14,15,4
15,14,17,4
15,14,17,4
15,17,17,4
18,17,17,4
18,17,20,4
18,17,20,4
18,20,20,4
21,20,20,4
21,20,20,4
21,20,20,4
21,20,23,4
21,20,23,4
19,20,23,4
19,20,23,4
19,20,23,4
19,20,23,4
19,23,23,4
19,23,23,4
19,23,23,4
19,23,20,4
19,23,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
17,19,20,4
20,22,20,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,22,22,4
20,20,22,4
20,20,22,4
20,20,22,4
20,20,22,4
20,20,22,4
20,20,22,4
20,20,22,4
17,18,20,4
17,18,20,4
17,18,20,4
17,18,20,4
17,18,20,4
17,18,20,4
14,13,14,4
14,13,14,4
14,13,14,4
14,13,14,4
14,13,14,4
14,13,14,4
7,9,9,4
7,9,9,4
7,9,9,4
7,9,9,4
7,9,9,4
7,9,9,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
5,5,5,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
4,4,4,4
